白雉,はくち,650,2,15
朱鳥,しゅちょう（すちょう）,686,7,20
大宝,たいほう（だいほう）,701,3,21
慶雲,けいうん（きょううん）,704,5,10
和銅,わどう,708,1,11
養老,ようろう,717,11,17
神亀,じんき,724,2,4
天平,てんぴょう（てんびょう）,729,8,5
天平感宝,てんぴょうかんぽう,749,4,14
天平勝宝,てんぴょうしょうほう,749,7,2
天平宝字,てんぴょうほうじ,757,8,18
天平神護,てんぴょうしんご,765,1,7
神護景雲,しんごけいうん,767,8,16
宝亀,ほうき,770,10,1
天応,てんおう,781,1,1
延暦,えんりゃく,782,8,19
弘仁,こうにん,810,9,19
天長,てんちょう,824,1,5
承和,じょうわ（しょうわ）,834,1,3
嘉祥,かしょう（かじょう）,848,6,13
仁寿,にんじゅ,851,4,28
斎衡,さいこう,854,11,30
天安,てんあん（てんなん）,857,2,21
貞観,じょうがん,859,4,15
元慶,がんぎょう（げんけい）,877,4,16
仁和,にんな（じんな）,885,2,21
寛平,かんぴょう（かんぺい）,889,4,27
昌泰,しょうたい,898,4,26
延喜,えんぎ,901,7,15
延長,えんちょう,923,4,11
承平,じょうへい（しょうへい）,931,4,26
天慶,てんぎょう（てんきょう）,938,5,22
天暦,てんりゃく（てんれき）,947,4,22
天徳,てんとく,957,10,27
応和,おうわ,961,2,16
康保,こうほう,964,7,10
安和,あんな（あんわ）,968,8,13
天禄,てんろく,970,3,25
天延,てんえん,973,12,20
貞元,じょうげん（ていげん）,976,7,13
天元,てんげん,978,11,29
永観,えいかん,983,4,15
寛和,かんな（かんわ）,985,4,27
永延,えいえん（ようえん）,987,4,5
永祚,えいそ,989,8,8
正暦,しょうりゃく（じょうりゃく）,990,11,7
長徳,ちょうとく,995,2,22
長保,ちょうほう,999,1,13
寛弘,かんこう,1004,7,20
長和,ちょうわ,1012,12,25
寛仁,かんにん,1017,4,23
治安,じあん（ちあん）,1021,2,2
万寿,まんじゅ,1024,7,13
長元,ちょうげん,1028,7,25
長暦,ちょうりゃく（ちょうれき）,1037,4,21
長久,ちょうきゅう,1040,11,10
寛徳,かんとく,1044,11,24
永承,えいしょう（えいじょう）,1046,4,14
天喜,てんぎ（てんき）,1053,1,11
康平,こうへい,1058,8,29
治暦,じりゃく（ちりゃく）,1065,8,2
延久,えんきゅう,1069,4,13
承保,じょうほう（しょうほう）,1074,8,23
承暦,じょうりゃく（しょうりゃく）,1077,11,17
永保,えいほう,1081,2,10
応徳,おうとく,1084,2,7
寛治,かんじ,1087,4,7
嘉保,かほう,1094,12,15
永長,えいちょう（ようちょう）,1096,12,17
承徳,じょうとく（しょうとく）,1097,11,21
康和,こうわ,1099,8,28
長治,ちょうじ,1104,2,10
嘉承,かじょう（かしょう）,1106,4,9
天仁,てんにん,1108,8,3
天永,てんえい,1110,7,13
永久,えいきゅう,1113,7,13
元永,げんえい,1118,4,3
保安,ほうあん,1120,4,10
天治,てんじ,1124,4,3
大治,だいじ（たいじ）,1126,1,22
天承,てんしょう（てんじょう）,1131,1,29
長承,ちょうしょう（ちょうじょう）,1132,8,11
保延,ほうえん,1135,4,27
永治,えいじ,1141,7,10
康治,こうじ,1142,4,28
天養,てんよう,1144,2,23
久安,きゅうあん,1145,7,22
仁平,にんぺい（にんびょう）,1151,1,26
久寿,きゅうじゅ,1154,10,28
保元,ほうげん,1156,4,27
平治,へいじ（びょうじ）,1159,4,20
永暦,えいりゃく（ようりゃく）,1160,1,10
応保,おうほう,1161,9,4
長寛,ちょうかん,1163,3,29
永万,えいまん（ようまん）,1165,6,5
仁安,にんあん（にんなん）,1166,8,27
嘉応,かおう,1169,4,8
承安,じょうあん（しょうあん）,1171,4,21
安元,あんげん,1175,7,28
治承,じしょう（じじょう）,1177,8,4
養和,ようわ,1181,7,14
寿永,じゅえい,1182,5,27
元暦,げんりゃく,1184,4,16
